ID,Name,Certificate,Duration,Genre,Rating,Metascore,Revenue
1,The Shawshank Redemption,R,142 min,Drama,9.3,82,2807416
2,The Godfather,R,175 min,"Crime, Drama",9.2,100,1956381
3,The Dark Knight,PG-13,152 min,"Action, Crime, Drama",9,84,2789160
4,Schindler's List,R,195 min,"Biography, Drama, History",9,95,1411332
5,The Lord of the Rings: The Return of the King,PG-13,201 min,"Action, Adventure, Drama",9,94,1921772
6,12 Angry Men,Approved,96 min,"Crime, Drama",9,97,835538
7,The Godfather Part II,R,202 min,"Crime, Drama",9,90,1328486
8,Pulp Fiction,R,154 min,"Crime, Drama",8.9,95,2153060
9,Fight Club,R,139 min,Drama,8.8,67,2241723
10,The Lord of the Rings: The Fellowship of the Ring,PG-13,178 min,"Action, Adventure, Drama",8.8,92,1950066
11,Inception,PG-13,148 min,"Action, Adventure, Sci-Fi",8.8,74,2475546
12,Forrest Gump,PG-13,142 min,"Drama, Romance",8.8,82,2185324
13,The Lord of the Rings: The Two Towers,PG-13,179 min,"Action, Adventure, Drama",8.8,87,1734147
14,"The Good, the Bad and the Ugly",Approved,178 min,"Adventure, Western",8.8,90,791425
15,Jai Bhim,TV-MA,164 min,"Crime, Drama, Mystery",8.8,,211008
16,777 Charlie,,164 min,"Adventure, Comedy, Drama",8.8,,37051
17,Spider-Man: Across the Spider-Verse,PG,140 min,"Animation, Action, Adventure",8.7,86,274820
18,Interstellar,PG-13,169 min,"Adventure, Drama, Sci-Fi",8.7,74,1998407
19,Goodfellas,R,145 min,"Biography, Crime, Drama",8.7,92,1218618
20,The Matrix,R,136 min,"Action, Sci-Fi",8.7,73,1996058
21,One Flew Over the Cuckoo's Nest,R,133 min,Drama,8.7,84,1046107
22,Star Wars: Episode V - The Empire Strikes Back,PG,124 min,"Action, Adventure, Fantasy",8.7,82,1345508
23,Rocketry: The Nambi Effect,Not Rated,157 min,"Biography, Drama",8.7,,55700
24,Soorarai Pottru,TV-MA,153 min,"Action, Drama",8.7,,121076
25,The Silence of the Lambs,R,118 min,"Crime, Drama, Thriller",8.6,86,1498989
26,Se7en,R,127 min,"Crime, Drama, Mystery",8.6,65,1739499
27,Saving Private Ryan,R,169 min,"Drama, War",8.6,91,1454112
28,The Green Mile,R,189 min,"Crime, Drama, Fantasy",8.6,61,1364941
29,Star Wars: Episode IV - A New Hope,PG,121 min,"Action, Adventure, Fantasy",8.6,90,1416999
30,City of God,R,130 min,"Crime, Drama",8.6,79,783342
31,Spirited Away,PG,125 min,"Animation, Adventure, Family",8.6,96,812978
32,Terminator 2: Judgment Day,R,137 min,"Action, Sci-Fi",8.6,75,1144667
33,Life Is Beautiful,PG-13,116 min,"Comedy, Drama, Romance",8.6,59,724504
34,It's a Wonderful Life,PG,130 min,"Drama, Family, Fantasy",8.6,89,480175
35,Seven Samurai,Not Rated,207 min,"Action, Drama",8.6,98,358883
36,Harakiri,Not Rated,133 min,"Action, Drama, Mystery",8.6,85,64255
37,Sita Ramam,,163 min,"Action, Drama, Mystery",8.6,,63419
38,Oppenheimer,R,180 min,"Biography, Drama, History",8.5,88,458334
